GO.ID	Term	Annotated	Significant	Expected	P_value
50	GO:0006995	cellular response to nitrogen starvation	1	1	0.05	0.05363
51	GO:0070086	ubiquitin-dependent endocytosis	1	1	0.05	0.05363
52	GO:0022009	central nervous system vasculogenesis	1	1	0.05	0.05363
53	GO:0007141	male meiosis I	1	1	0.05	0.05363
54	GO:0060535	trachea cartilage morphogenesis	1	1	0.05	0.05363
55	GO:0015670	carbon dioxide transport	1	1	0.05	0.05363
56	GO:0007290	spermatid nucleus elongation	1	1	0.05	0.05363
57	GO:0048842	positive regulation of axon extension involved in axon guidance	1	1	0.05	0.05363
58	GO:2001150	positive regulation of dipeptide transmembrane transport	1	1	0.05	0.05363
59	GO:0048843	negative regulation of axon extension involved in axon guidance	1	1	0.05	0.05363
60	GO:0035582	sequestering of BMP in extracellular matrix	1	1	0.05	0.05363
61	GO:0035524	proline transmembrane transport	1	1	0.05	0.05363
62	GO:0007288	sperm axoneme assembly	1	1	0.05	0.05363
63	GO:0044805	late nucleophagy	1	1	0.05	0.05363
64	GO:0032536	regulation of cell projection size	1	1	0.05	0.05363
65	GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	1	1	0.05	0.05363
66	GO:0001207	histone displacement	1	1	0.05	0.05363
67	GO:0016332	establishment or maintenance of polarity of embryonic epithelium	1	1	0.05	0.05363
68	GO:0009733	response to auxin	1	1	0.05	0.05363
69	GO:0009735	response to cytokinin	1	1	0.05	0.05363
70	GO:0048692	negative regulation of axon extension involved in regeneration	1	1	0.05	0.05363
71	GO:0045650	negative regulation of macrophage differentiation	1	1	0.05	0.05363
72	GO:0045672	positive regulation of osteoclast differentiation	1	1	0.05	0.05363
73	GO:0009860	pollen tube growth	1	1	0.05	0.05363
74	GO:0070358	actin polymerization-dependent cell motility	1	1	0.05	0.05363
75	GO:0032364	oxygen homeostasis	1	1	0.05	0.05363
76	GO:0009827	plant-type cell wall modification	1	1	0.05	0.05363
77	GO:0009846	pollen germination	1	1	0.05	0.05363
78	GO:0060482	lobar bronchus development	1	1	0.05	0.05363
79	GO:0036334	epidermal stem cell homeostasis	1	1	0.05	0.05363
80	GO:0060426	lung vasculature development	1	1	0.05	0.05363
81	GO:0070307	lens fiber cell development	1	1	0.05	0.05363
82	GO:0051971	positive regulation of transmission of nerve impulse	1	1	0.05	0.05363
83	GO:0001842	neural fold formation	1	1	0.05	0.05363
84	GO:0071455	cellular response to hyperoxia	1	1	0.05	0.05363
85	GO:0071480	cellular response to gamma radiation	1	1	0.05	0.05363
86	GO:0015969	guanosine tetraphosphate metabolic process	1	1	0.05	0.05363
87	GO:0000012	single strand break repair	1	1	0.05	0.05363
88	GO:0002005	angiotensin catabolic process in blood	1	1	0.05	0.05363
89	GO:0097089	methyl-branched fatty acid metabolic process	1	1	0.05	0.05363
90	GO:2001028	positive regulation of endothelial cell chemotaxis	1	1	0.05	0.05363
91	GO:0032486	Rap protein signal transduction	1	1	0.05	0.05363
92	GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	1	1	0.05	0.05363
93	GO:0010114	response to red light	1	1	0.05	0.05363
94	GO:0060136	embryonic process involved in female pregnancy	1	1	0.05	0.05363
95	GO:0042450	arginine biosynthetic process via ornithine	1	1	0.05	0.05363
96	GO:1990256	signal clustering	1	1	0.05	0.05363
97	GO:0038166	angiotensin-activated signaling pathway	1	1	0.05	0.05363
98	GO:0009644	response to high light intensity	1	1	0.05	0.05363
99	GO:0010218	response to far red light	1	1	0.05	0.05363
100	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1	1	0.05	0.05363
