GO.ID	Term	Annotated	Significant	Expected	P_value
267	GO:0006109	regulation of carbohydrate metabolic process	55	2	3.08	0.05605
268	GO:0042474	middle ear morphogenesis	16	3	0.89	0.05663
269	GO:0042493	response to drug	209	19	11.69	0.05785
270	GO:0045454	cell redox homeostasis	63	7	3.52	0.06120
271	GO:0071222	cellular response to lipopolysaccharide	51	6	2.85	0.06387
272	GO:0000398	mRNA splicing, via spliceosome	138	25	7.72	0.06501
273	GO:0007049	cell cycle	1286	71	71.93	0.06535
274	GO:0071625	vocalization behavior	17	3	0.95	0.06600
275	GO:0022008	neurogenesis	951	49	53.19	0.06642
276	GO:0007015	actin filament organization	184	12	10.29	0.06862
277	GO:0006950	response to stress	2196	142	122.83	0.06880
278	GO:0044351	macropinocytosis	52	6	2.91	0.06895
279	GO:0031365	N-terminal protein amino acid modification	12	4	0.67	0.06966
280	GO:0014054	positive regulation of gamma-aminobutyric acid secretion	8	2	0.45	0.06989
281	GO:0048803	imaginal disc-derived male genitalia morphogenesis	8	2	0.45	0.06989
282	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	8	2	0.45	0.06989
283	GO:0030174	regulation of DNA-dependent DNA replication initiation	8	2	0.45	0.06989
284	GO:0030240	skeletal muscle thin filament assembly	8	2	0.45	0.06989
285	GO:0010765	positive regulation of sodium ion transport	8	2	0.45	0.06989
286	GO:0006975	DNA damage induced protein phosphorylation	8	2	0.45	0.06989
287	GO:0009608	response to symbiont	8	2	0.45	0.06989
288	GO:0035458	cellular response to interferon-beta	8	2	0.45	0.06989
289	GO:0048052	R1/R6 cell differentiation	8	2	0.45	0.06989
290	GO:0008407	chaeta morphogenesis	8	2	0.45	0.06989
291	GO:0002230	positive regulation of defense response to virus by host	8	2	0.45	0.06989
292	GO:0001935	endothelial cell proliferation	46	4	2.57	0.06991
293	GO:0008284	positive regulation of cell proliferation	369	31	20.64	0.07255
294	GO:0009207	purine ribonucleoside triphosphate catabolic process	548	39	30.65	0.07262
295	GO:0006979	response to oxidative stress	211	21	11.8	0.07287
296	GO:0055085	transmembrane transport	1215	67	67.96	0.07344
297	GO:0042632	cholesterol homeostasis	30	5	1.68	0.07584
298	GO:0006094	gluconeogenesis	28	4	1.57	0.07595
299	GO:0021549	cerebellum development	49	4	2.74	0.07617
300	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	42	5	2.35	0.08353
