GO.ID	Term	Annotated	Significant	Expected	P_value
59	GO:0005665	DNA-directed RNA polymerase II, core complex	5	1	0.27	0.24229
60	GO:0032391	photoreceptor connecting cilium	5	1	0.27	0.24229
61	GO:0008076	voltage-gated potassium channel complex	5	1	0.27	0.24229
62	GO:0016272	prefoldin complex	5	1	0.27	0.24229
63	GO:0045202	synapse	118	7	6.37	0.24891
64	GO:0005903	brush border	18	2	0.97	0.25310
65	GO:0031410	cytoplasmic vesicle	229	12	12.35	0.25620
66	GO:0005604	basement membrane	49	5	2.64	0.25878
67	GO:0005902	microvillus	19	2	1.02	0.27356
68	GO:0005795	Golgi stack	17	2	0.92	0.28266
69	GO:0030127	COPII vesicle coat	6	1	0.32	0.28323
70	GO:0031307	integral component of mitochondrial outer membrane	6	1	0.32	0.28323
71	GO:0033018	sarcoplasmic reticulum lumen	6	1	0.32	0.28323
72	GO:0031226	intrinsic component of plasma membrane	83	5	4.48	0.28345
73	GO:0005758	mitochondrial intermembrane space	20	2	1.08	0.29400
74	GO:0005929	cilium	63	6	3.4	0.31007
75	GO:0005773	vacuole	133	9	7.17	0.32004
76	GO:0005834	heterotrimeric G-protein complex	7	1	0.38	0.32197
77	GO:0043202	lysosomal lumen	7	1	0.38	0.32197
78	GO:0071203	WASH complex	7	1	0.38	0.32197
79	GO:0005938	cell cortex	93	5	5.02	0.34037
80	GO:0005930	axoneme	17	3	0.92	0.35608
81	GO:0005782	peroxisomal matrix	8	1	0.43	0.35862
82	GO:0031527	filopodium membrane	8	1	0.43	0.35862
83	GO:0031514	motile cilium	8	1	0.43	0.35862
84	GO:0005886	plasma membrane	545	31	29.4	0.37315
85	GO:0005874	microtubule	96	8	5.18	0.39264
86	GO:0032580	Golgi cisterna membrane	9	1	0.49	0.39331
87	GO:0005876	spindle microtubule	9	1	0.49	0.39331
88	GO:0055038	recycling endosome membrane	9	1	0.49	0.39331
89	GO:0043227	membrane-bounded organelle	1895	91	102.23	0.39662
90	GO:0042470	melanosome	43	3	2.32	0.41197
91	GO:0005635	nuclear envelope	71	3	3.83	0.41754
92	GO:0030426	growth cone	14	2	0.76	0.42465
93	GO:0031941	filamentous actin	10	1	0.54	0.42613
94	GO:0070469	respiratory chain	36	2	1.94	0.42689
95	GO:0097060	synaptic membrane	39	2	2.1	0.42720
96	GO:0014069	postsynaptic density	27	2	1.46	0.43240
97	GO:0005783	endoplasmic reticulum	286	16	15.43	0.45658
98	GO:0045111	intermediate filament cytoskeleton	11	1	0.59	0.45718
99	GO:0044306	neuron projection terminus	11	1	0.59	0.45718
100	GO:0032420	stereocilium	11	1	0.59	0.45718
